"seed","scenario","sacc_deg","method","rank","opi","auc_proj","auc_ceiling","p_value"
3,"ocular_corr",8,"eog",2,0.433533663561742,0.935246443449757,0.93610069711581,0.00497512437810945
3,"ocular_corr",8,"frontal",17,0.434525447222507,0.935795098139428,0.93610069711581,0.00497512437810945
4,"ocular_corr",8,"gaze",4,0.4364336075267,0.936047810839332,0.93670004788315,0.00497512437810945
4,"ocular_corr",8,"random",4,0.434548587704254,0.934630193916451,0.93670004788315,0.00497512437810945
4,"ocular_corr",8,"eog",2,0.438046413857702,0.937860394411357,0.93670004788315,0.00497512437810945
4,"ocular_corr",8,"frontal",17,0.436219206802097,0.936046209457002,0.93670004788315,0.00497512437810945
5,"ocular_corr",8,"gaze",4,0.430738346225379,0.931328701538352,0.9320764448212,0.00497512437810945
5,"ocular_corr",8,"random",4,0.427406833426578,0.928045616296725,0.9320764448212,0.00497512437810945
5,"ocular_corr",8,"eog",2,0.430477979010744,0.93131418689592,0.9320764448212,0.00497512437810945
5,"ocular_corr",8,"frontal",17,0.430627648271796,0.931421790097727,0.9320764448212,0.00497512437810945
6,"ocular_corr",8,"gaze",4,0.437878869832863,0.940510425663797,0.941142257521,0.00497512437810945
6,"ocular_corr",8,"random",4,0.441143412428415,0.942409577892882,0.941142257521,0.00497512437810945
6,"ocular_corr",8,"eog",2,0.43987057324693,0.94240458731861,0.941142257521,0.00497512437810945
6,"ocular_corr",8,"frontal",17,0.437771430837716,0.940486877176455,0.941142257521,0.00497512437810945
7,"ocular_corr",8,"gaze",4,0.430318697224887,0.930338278924013,0.931174396719131,0.00497512437810945
7,"ocular_corr",8,"random",4,0.430641518778138,0.931017208786299,0.931174396719131,0.00497512437810945
7,"ocular_corr",8,"eog",2,0.4285971144462,0.928743884255355,0.931174396719131,0.00497512437810945
7,"ocular_corr",8,"frontal",17,0.430548478445849,0.930570673673445,0.931174396719131,0.00497512437810945
8,"ocular_corr",8,"gaze",4,0.426026596814716,0.925007766478277,0.92575483485916,0.00497512437810945
8,"ocular_corr",8,"random",4,0.425778802395751,0.925709910250871,0.92575483485916,0.00497512437810945
8,"ocular_corr",8,"eog",2,0.425707938288457,0.924890681687532,0.92575483485916,0.00497512437810945
8,"ocular_corr",8,"frontal",17,0.425955543225539,0.925031190365288,0.92575483485916,0.00497512437810945
9,"ocular_corr",8,"gaze",4,0.415103179464363,0.915869555664755,0.916315859835675,0.00497512437810945
9,"ocular_corr",8,"random",4,0.416184191172394,0.916776429043013,0.916315859835675,0.00497512437810945
9,"ocular_corr",8,"eog",2,0.416956251425016,0.917145225359934,0.916315859835675,0.00497512437810945
9,"ocular_corr",8,"frontal",17,0.415176545395308,0.915870300368061,0.916315859835675,0.00497512437810945
10,"ocular_corr",8,"gaze",4,0.432328048617793,0.932352787478398,0.932773438497723,0.00497512437810945
10,"ocular_corr",8,"random",4,0.430828163271735,0.929732391781322,0.932773438497723,0.00497512437810945
10,"ocular_corr",8,"eog",2,0.435927424742277,0.935349096664997,0.932773438497723,0.00497512437810945
10,"ocular_corr",8,"frontal",17,0.432221044551029,0.932214179133877,0.932773438497723,0.00497512437810945
11,"ocular_corr",8,"gaze",4,0.43554834776045,0.937571544570449,0.938363453879512,0.00497512437810945
11,"ocular_corr",8,"random",4,0.439060182374366,0.940231077290648,0.938363453879512,0.00497512437810945
11,"ocular_corr",8,"eog",2,0.435364858580371,0.937442800155765,0.938363453879512,0.00497512437810945
11,"ocular_corr",8,"frontal",17,0.435524888660225,0.937662803702609,0.938363453879512,0.00497512437810945
