"seed","scenario","montage","coupling","sacc_deg","shuffle","opi","auc_proj","auc_ceiling","null_mean","p_value","opi_truth","bias","gaze_r2","r2_gx","r2_blink"
10,"ocular_corr","erpcore",0.85,4,FALSE,0.433447907675291,0.933339621885966,0.935367627751758,0.499891714210675,0.00497512437810945,0.435407649688277,-0.00195974201298627,0.772012938279102,0.995874643011292,0.380940297896032
11,"ocular_corr","erpcore",0.85,4,FALSE,0.435097719518491,0.937031609088083,0.938456347068304,0.501933889569592,0.00497512437810945,0.436180756017851,-0.00108303649935948,0.777875820706278,0.996087068741986,0.416671873401004
12,"ocular_corr","erpcore",0.85,4,FALSE,0.431446786421612,0.929185498226548,0.931891801125769,0.497738711804937,0.00497512437810945,0.428157857087229,0.00328892933438291,0.756253905149731,0.995060932279437,0.381481456502613
1,"ocular_corr","full",0.85,8,FALSE,0.411141534584122,0.909973777426026,0.911761979348525,0.498832242841904,0.00497512437810945,0.411390162419776,-0.000248627835654158,0.798676895309497,0.998896552925479,0.492129539893082
2,"ocular_corr","full",0.85,8,FALSE,0.421993352158315,0.923734519586144,0.924970694799996,0.501741167427828,0.00497512437810945,0.422013128381343,-1.97762230279563e-05,0.792906080710341,0.99931344349354,0.483332920053087
3,"ocular_corr","full",0.85,8,FALSE,0.434538561280886,0.93581838187712,0.93610069711581,0.501279820596234,0.00497512437810945,0.432930661215307,0.0016079000655792,0.796342738443969,0.999169448778752,0.490475135039416
4,"ocular_corr","full",0.85,8,FALSE,0.4364336075267,0.936047810839332,0.93670004788315,0.499614203312633,0.00497512437810945,0.435537670423643,0.00089593710305691,0.79899909563602,0.999095529832667,0.500590024242311
5,"ocular_corr","full",0.85,8,FALSE,0.430738346225379,0.931328701538352,0.9320764448212,0.500590355312974,0.00497512437810945,0.426261117549502,0.00447722867587663,0.790235230310426,0.999300936685302,0.457968348894157
6,"ocular_corr","full",0.85,8,FALSE,0.437878869832863,0.940510425663797,0.941142257521,0.502631555830934,0.00497512437810945,0.436268192308334,0.00161067752452848,0.798711915130822,0.999069660452536,0.518892307855708
7,"ocular_corr","full",0.85,8,FALSE,0.430318697224887,0.930338278924013,0.931174396719131,0.500019581699126,0.00497512437810945,0.432566230343792,-0.00224753311890447,0.790815747983298,0.999049405064698,0.477302176448494
8,"ocular_corr","full",0.85,8,FALSE,0.426026596814716,0.925007766478277,0.92575483485916,0.498981169663561,0.00497512437810945,0.427065622284442,-0.00103902546972656,0.795740367723056,0.998744145086446,0.500043549873549
