"seed","scenario","method","rank","opi","auc_proj","auc_ceiling","p_value"
6,"covert","random",4,0.0500179808609056,0.546720436205273,0.813815833005008,0.00497512437810945
6,"covert","eog",2,0.00310156397397171,0.500156310226936,0.813815833005008,0.522388059701492
6,"covert","frontal",17,-0.00221190915980596,0.494708046140954,0.813815833005008,0.587064676616915
7,"covert","gaze",4,0.0439098102597608,0.543039327155897,0.763537404911312,0.0149253731343284
7,"covert","random",4,0.0593637922974256,0.559255097344245,0.763537404911312,0.00497512437810945
7,"covert","eog",2,0.0315139090054932,0.532637992557933,0.763537404911312,0.0447761194029851
7,"covert","frontal",17,0.0307269759426326,0.530157880688966,0.763537404911312,0.0746268656716418
8,"covert","gaze",4,-0.0132691329118964,0.487366133965891,0.781261303876466,0.751243781094527
8,"covert","random",4,0.0277430481683639,0.528208683464169,0.781261303876466,0.119402985074627
8,"covert","eog",2,-0.032505430838454,0.466831273965801,0.781261303876466,0.890547263681592
8,"covert","frontal",17,-0.0215657487874918,0.477540713120071,0.781261303876466,0.82089552238806
9,"covert","gaze",4,0.0116616888075478,0.51261024956117,0.804102566341988,0.353233830845771
9,"covert","random",4,0.0417255570889582,0.54363285034196,0.804102566341988,0.0149253731343284
9,"covert","eog",2,0.00713206142142642,0.508539433213627,0.804102566341988,0.422885572139304
9,"covert","frontal",17,0.00666547432684517,0.507186492974402,0.804102566341988,0.412935323383085
10,"covert","gaze",4,0.0201019672541963,0.520836240531938,0.786389365839979,0.203980099502488
10,"covert","random",4,0.112577541866147,0.613472112845762,0.786389365839979,0.00497512437810945
10,"covert","eog",2,0.032034137039171,0.531388007818061,0.786389365839979,0.0447761194029851
10,"covert","frontal",17,0.0229798471259274,0.524978138827826,0.786389365839979,0.144278606965174
11,"covert","gaze",4,0.0293309451924849,0.530167916239069,0.808255025940743,0.0497512437810945
11,"covert","random",4,0.0504649460768777,0.552170098084119,0.808255025940743,0.00497512437810945
11,"covert","eog",2,0.0185948953518447,0.518080018001379,0.808255025940743,0.233830845771144
11,"covert","frontal",17,0.0221433394592806,0.522533774590489,0.808255025940743,0.164179104477612
12,"covert","gaze",4,0.000571027648110456,0.501339738522608,0.811121696419635,0.527363184079602
12,"covert","random",4,0.114466070799628,0.613729616182748,0.811121696419635,0.00497512437810945
12,"covert","eog",2,-0.00919779546981409,0.490728351327375,0.811121696419635,0.706467661691542
12,"covert","frontal",17,-0.0412508884336447,0.459577732821321,0.811121696419635,0.955223880597015
1,"motor","gaze",4,0.0309236530228341,0.53134265289418,0.854062488807255,0.0398009950248756
1,"motor","random",4,0.109989483666034,0.609325722231281,0.854062488807255,0.00497512437810945
1,"motor","eog",2,0.0279366328167918,0.528150540852287,0.854062488807255,0.054726368159204
1,"motor","frontal",17,0.0165231989513897,0.517042695013476,0.854062488807255,0.263681592039801
2,"motor","gaze",4,0.0334333036781266,0.53391691109167,0.847625058418786,0.054726368159204
2,"motor","random",4,0.0120820471355895,0.513764654840042,0.847625058418786,0.293532338308458
2,"motor","eog",2,0.0009017865812595,0.500909431660601,0.847625058418786,0.597014925373134
2,"motor","frontal",17,-0.00174716488700666,0.498834375839282,0.847625058418786,0.587064676616915
3,"motor","gaze",4,0.00884424779579496,0.512647919212649,0.87581750659925,0.378109452736318
3,"motor","random",4,0.0984874952646956,0.600954412690105,0.87581750659925,0.00497512437810945
3,"motor","eog",2,-0.00335871158936285,0.50002694839254,0.87581750659925,0.63681592039801
3,"motor","frontal",17,-0.0091808600399837,0.49480157372156,0.87581750659925,0.676616915422886
4,"motor","gaze",4,0.0392956879497468,0.540684091139521,0.816406783021573,0.0149253731343284
4,"motor","random",4,0.097333494778034,0.599749867233718,0.816406783021573,0.00497512437810945
4,"motor","eog",2,-0.0199698823667358,0.481225163898375,0.816406783021573,0.805970149253731
4,"motor","frontal",17,-0.0304961418129494,0.470228703170595,0.816406783021573,0.880597014925373
5,"motor","gaze",4,0.025846537060112,0.525756667193092,0.838029242283022,0.0945273631840796
5,"motor","random",4,0.0343684360270484,0.532654184521946,0.838029242283022,0.054726368159204
5,"motor","eog",2,0.0359203371640153,0.535456857898851,0.838029242283022,0.0348258706467662
5,"motor","frontal",17,0.0296633194147357,0.528861422537226,0.838029242283022,0.0497512437810945
6,"motor","gaze",4,0.0262278421966421,0.525538969084279,0.856206624391259,0.104477611940299
6,"motor","random",4,0.0291384460363838,0.526608927508903,0.856206624391259,0.109452736318408
6,"motor","eog",2,0.0121198074921988,0.511849833859075,0.856206624391259,0.328358208955224
6,"motor","frontal",17,-0.0089219724151624,0.489860770527065,0.856206624391259,0.656716417910448
7,"motor","gaze",4,0.0501282320742483,0.549526203578368,0.836231090965774,0.00497512437810945
7,"motor","random",4,0.0408403953950626,0.539314858911067,0.836231090965774,0.0199004975124378
7,"motor","eog",2,-0.00991180310467188,0.490748637233489,0.836231090965774,0.741293532338308
7,"motor","frontal",17,-0.0110257958329936,0.488287553363696,0.836231090965774,0.716417910447761
8,"motor","gaze",4,0.0260634616008269,0.523793872667538,0.787721454488811,0.104477611940299
8,"motor","random",4,0.0253629860088108,0.523177814599568,0.787721454488811,0.0995024875621891
8,"motor","eog",2,0.00769587690857243,0.503166119021958,0.787721454488811,0.462686567164179
8,"motor","frontal",17,0.0169559371870781,0.514077796444868,0.787721454488811,0.258706467661692
9,"motor","gaze",4,0.0454107627508834,0.546182921448676,0.829199564087241,0.0149253731343284
9,"motor","random",4,0.0640590809379288,0.562831900065388,0.829199564087241,0.00497512437810945
9,"motor","eog",2,0.033872313054035,0.533858076191393,0.829199564087241,0.0199004975124378
9,"motor","frontal",17,0.0302476674470787,0.531391347275841,0.829199564087241,0.0348258706467662
10,"motor","gaze",4,0.0205576081569706,0.520529039729763,0.83774794198023,0.199004975124378
10,"motor","random",4,0.19269114648253,0.693807312202515,0.83774794198023,0.00497512437810945
10,"motor","eog",2,0.00491323392634024,0.505293510952903,0.83774794198023,0.432835820895522
10,"motor","frontal",17,0.000929574046521942,0.500725814327317,0.83774794198023,0.54228855721393
11,"motor","gaze",4,0.0169783871239687,0.515597796863514,0.89768230500769,0.26865671641791
11,"motor","random",4,0.109246199039275,0.609337903100444,0.89768230500769,0.00497512437810945
11,"motor","eog",2,0.00528475263952288,0.504642444126447,0.89768230500769,0.497512437810945
11,"motor","frontal",17,0.00466921267856779,0.5036572006427,0.89768230500769,0.492537313432836
12,"motor","gaze",4,0.0444321336656509,0.54551712755127,0.824096025940412,0.0149253731343284
12,"motor","random",4,0.0519976835055277,0.553197153960229,0.824096025940412,0.00497512437810945
12,"motor","eog",2,0.0158845237972052,0.516671081915039,0.824096025940412,0.258706467661692
12,"motor","frontal",17,0.0146861534612164,0.515619542830292,0.824096025940412,0.263681592039801
