"seed","montage","sacc_deg","r2_gx","r2_gy","r2_sacc","blink_auc","mean_r2_all","mean_r2_cont"
12,"full",4,0.99738829865175,0.741199227814662,0.986320236058146,0.999813431919835,0.84461255015022,0.908302587508186
1,"erpcore",4,0.994210797514012,0.717384091907904,0.983755056422282,0.970502655971397,0.770473071575277,0.898449981948066
2,"erpcore",4,0.995657017532056,0.703907362886819,0.985126887858018,0.966386829889188,0.765241828283031,0.894897089425631
3,"erpcore",4,0.995157384932603,0.708555467624036,0.984133424256692,0.968561205408516,0.768033066378257,0.895948758937777
4,"erpcore",4,0.994776768729167,0.709952885681126,0.984324954177072,0.968157374597126,0.771196124706876,0.896351536195788
5,"erpcore",4,0.995563457371222,0.722932255818803,0.98410416402195,0.96864876881709,0.763349907374826,0.900866625737325
6,"erpcore",4,0.994839118331907,0.692451394659146,0.983806388749155,0.975114271203657,0.772767213727156,0.890365633913403
7,"erpcore",4,0.994824437024032,0.704924440662061,0.983840845109127,0.9649291570771,0.762574332595207,0.894529907598406
8,"erpcore",4,0.994013180587049,0.699412966537789,0.983471478205693,0.966932336223357,0.768349647319538,0.89229920844351
9,"erpcore",4,0.994721217667428,0.69463558949505,0.983352566307307,0.952038103204715,0.767711165922022,0.890903124489928
10,"erpcore",4,0.995874643011292,0.725728947521088,0.985507864687998,0.971029832429251,0.772012938279102,0.902370485073459
11,"erpcore",4,0.996087068741986,0.713534242364723,0.985210098317401,0.975011687284235,0.777875820706278,0.898277136474703
12,"erpcore",4,0.995060932279437,0.664133197832266,0.98434003398461,0.969820158190093,0.756253905149731,0.881178054698771
1,"full",8,0.998896552925479,0.715327564923081,0.988353923496346,0.993314680235941,0.798676895309497,0.900859347114969
2,"full",8,0.99931344349354,0.700653841888292,0.988324117406447,0.991960542078467,0.792906080710341,0.89609713426276
3,"full",8,0.999169448778752,0.707720229531936,0.988006140425774,0.992439226121979,0.796342738443969,0.898298606245487
4,"full",8,0.999095529832667,0.708141914506613,0.988168913962487,0.992329813565056,0.79899909563602,0.898468786100589
5,"full",8,0.999300936685302,0.715930281085005,0.98774135457724,0.993383582816371,0.790235230310426,0.900990857449182
6,"full",8,0.999069660452536,0.68876650775544,0.988119184459603,0.99434512250812,0.798711915130822,0.89198511755586
7,"full",8,0.999049405064698,0.698777777697934,0.988133632722066,0.991454797180667,0.790815747983298,0.895320271828233
8,"full",8,0.998744145086446,0.696365258226317,0.987808517705914,0.991843841236227,0.795740367723056,0.894305973672892
9,"full",8,0.999041768531011,0.696741205066169,0.987525412618785,0.984951624123494,0.797743635680625,0.894436128738655
10,"full",8,0.999440739537386,0.719218158574158,0.989020477817621,0.993170340023085,0.798703057859109,0.902559791976388
11,"full",8,0.999447048701958,0.708579832712388,0.988261555949236,0.993437140391254,0.80323612622926,0.898762812454527
12,"full",8,0.999148295700758,0.661467783374283,0.987956871971594,0.992439083066983,0.782646521888446,0.882857650348879
1,"erpcore",8,0.997745099958764,0.637281678575008,0.987329480430735,0.94709472576688,0.729654242767621,0.874118752988169
2,"erpcore",8,0.998114424592395,0.618675552475427,0.987382842406359,0.942006401617251,0.72101936879737,0.868057606491394
3,"erpcore",8,0.998004539613165,0.619050353253115,0.986980961220826,0.944480904775604,0.723953483179098,0.868011951362369
4,"erpcore",8,0.997919804893774,0.621745219745493,0.987218790563309,0.943299382111505,0.725626502534214,0.868961271734192
5,"erpcore",8,0.998109939424668,0.636642360322874,0.986719567232802,0.945793017297961,0.720372997288346,0.873823955660115
6,"erpcore",8,0.997901096074721,0.614925293888391,0.987034847982899,0.950501683659751,0.72839944765149,0.86662041264867
7,"erpcore",8,0.997908873790116,0.61687536421933,0.98714202955267,0.936025604142693,0.717566109727628,0.867308755854038
8,"erpcore",8,0.997641875106154,0.61685544286653,0.986890033981223,0.942206903273539,0.725627679980569,0.867129117317969
9,"erpcore",8,0.997892450245653,0.620793465171258,0.986562270564116,0.926533538758317,0.726712171563275,0.868416061993676
10,"erpcore",8,0.99820479856711,0.629946192403408,0.987919643355847,0.949363796871222,0.72596239451771,0.872023544775455
11,"erpcore",8,0.9982493602176,0.616058343848256,0.987283566472958,0.955727668296893,0.730261356936796,0.867197090179605
12,"erpcore",8,0.997986486241829,0.589455235228795,0.987026642283195,0.94566941118132,0.71516809754586,0.858156121251273
1,"full",12,0.999363381526026,0.651542695881249,0.988848138970071,0.981633992709463,0.760004984982848,0.879918072125782
2,"full",12,0.999550199351735,0.632607886266616,0.988529483396417,0.978141846361186,0.751703825418791,0.873562523004923
3,"full",12,0.999490347575186,0.635986830179515,0.988329724576376,0.979318002013809,0.75498967214253,0.874602300777025
